match_duration,top_kills,top_deaths,top_assists,top_gold,top_vision,top_tower_damage,jg_kills,jg_deaths,jg_assists,jg_gold,jg_vision,jg_tower_damage,mid_kills,mid_deaths,mid_assists,mid_gold,mid_vision,mid_tower_damage,bot_kills,bot_deaths,bot_assists,bot_gold,bot_vision,bot_tower_damage,sup_kills,sup_deaths,sup_assists,sup_gold,sup_vision,sup_tower_damage,team_baron_kills,team_dragon_kills,team_riftHerald_kills,team_kills,team_deaths,team_assists,team_gold,team_vision,team_tower_damage,team_win
2280,18,15,5,19028,22,9452,12,8,10,16361,24,0,7,12,10,12753,27,1959,1,11,11,9385,17,2310,4,13,9,10648,47,978,1,4,1,42,59,45,68175,137,14699,1
1103,0,5,0,2700,2,0,0,5,2,5237,18,0,2,1,0,6697,8,1599,0,6,1,4206,4,2102,1,2,0,4710,18,638,0,0,0,3,19,3,23550,50,4339,0
1103,9,0,2,7892,10,4338,1,1,1,5541,9,0,1,1,1,6191,9,2186,4,1,2,5851,11,1867,4,0,5,6106,24,2537,0,3,0,19,3,11,31581,63,10928,1
1055,1,1,0,5040,1,827,2,6,2,6013,14,0,2,1,0,5571,8,3029,5,6,2,5978,9,0,0,7,7,4254,1,0,0,0,0,10,21,11,26856,33,3856,0
1055,3,1,3,5593,11,2177,6,3,5,7596,12,165,2,0,5,6702,9,1351,4,1,12,6755,6,3123,6,6,9,6934,10,1356,0,2,1,21,11,34,33580,48,8172,1
1608,11,7,2,10807,0,4474,5,7,3,9563,15,0,3,9,1,8968,5,1736,3,4,7,8415,9,648,3,6,7,7818,35,347,0,2,0,25,33,20,45571,64,7205,0
1608,6,9,2,12623,14,14539,2,5,4,8256,6,0,14,2,1,13729,13,8700,9,6,4,10948,18,3041,2,3,14,7942,39,219,0,0,0,33,25,25,53498,90,26499,1
2341,8,4,23,20069,29,28503,18,10,16,18592,25,0,2,10,15,12191,31,5159,8,11,18,16690,25,380,5,9,21,12729,59,129,1,4,1,41,44,93,80271,169,34171,1
2341,2,13,5,14729,17,6673,16,7,15,19312,33,791,13,9,20,19412,24,3700,10,6,9,17801,22,6304,3,6,24,11608,53,3696,1,2,0,44,41,73,82862,149,21164,0
1777,2,5,3,9711,14,2887,6,3,2,11179,25,0,4,6,1,8854,18,5958,2,9,3,9758,13,785,2,6,2,7374,41,244,0,3,1,16,29,11,46876,111,9874,0
1777,2,2,7,12193,9,14827,2,4,11,11210,20,711,6,4,9,10436,20,2082,16,2,3,14244,14,8898,3,4,7,8825,41,3259,1,1,0,29,16,37,56908,104,29777,1
1616,12,4,8,10760,14,3972,2,2,16,9625,20,1781,13,7,13,10453,8,869,14,12,6,12300,5,9622,6,10,8,9718,41,4873,0,2,1,47,35,51,52856,88,21117,1
1616,7,9,2,9719,13,2830,10,6,5,12552,18,0,2,13,2,6056,9,0,11,9,13,10365,8,353,5,10,21,8649,51,172,0,1,0,35,47,43,47341,99,3355,0
2360,11,7,6,18426,24,6038,16,10,9,18340,30,0,13,8,7,16860,20,6765,1,15,14,11532,24,908,4,12,13,11828,51,894,0,3,1,45,52,49,76986,149,14605,0
2360,5,9,13,14449,10,12060,18,9,13,20454,20,2971,6,6,11,13635,29,4979,12,12,14,14208,15,2074,11,9,18,13274,96,755,1,3,0,52,45,69,76020,170,22839,1
958,3,1,0,5350,7,975,4,1,2,6709,16,0,3,0,2,5681,7,990,1,0,5,5312,6,1381,4,3,3,5405,19,1489,0,2,0,15,5,12,28457,55,4835,1
958,0,3,1,3922,7,137,3,2,2,5291,11,0,0,3,3,4406,5,91,2,4,1,3887,6,0,0,3,2,3586,23,0,0,0,0,5,15,9,21092,52,228,0
1944,13,5,9,16735,22,17888,9,6,17,16409,17,3140,4,4,8,10665,9,1169,7,10,3,11110,5,4907,5,9,10,9638,18,554,0,4,1,38,34,47,64557,71,27658,1
1944,3,8,5,10118,17,5197,3,7,8,10707,20,3054,14,7,4,13828,17,1039,10,6,13,13646,23,1559,4,10,10,9468,71,0,0,0,0,34,38,40,57767,148,10849,0
934,5,0,1,5895,3,0,1,2,5,4677,8,0,6,0,4,6461,5,1118,1,1,5,4239,0,0,3,0,2,4389,8,0,0,2,0,16,3,17,25661,24,1118,1
934,1,4,0,3729,6,0,0,3,2,4278,11,0,0,5,0,3576,2,994,2,3,0,4182,5,0,0,1,2,3607,16,95,0,0,0,3,16,4,19372,40,1089,0
